EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
18SN19970924, A97, 4, 1, 22, 22, 2, 19970925, 0451, 70.5617, -141.7222, 490,     81.6,  -1.4268,  32.6901, 2,  32.6921, 2,    300.6, 2,    302.1, 2,    28.81, 2,    12.66, 2,     0.08, 2,     1.67, 2,    5.180, 2,    2.730, 2,    0.210, 2,    9.070, 2,   2175.9, 2,   2246.5, 2,  -1.4285
18SN19970924, A97, 4, 1, 21, 21, 2, 19970925, 0451, 70.5617, -141.7222, 490,    100.9,  -1.4313,  32.8681, 2,  32.8614, 2,    295.9, 2,    302.5, 2,    31.08, 2,    13.49, 2,     0.06, 2,     1.69, 2,    5.480, 2,    2.570, 2,    0.210, 2,    9.040, 2,   2182.3, 2,   2251.6, 2,  -1.4334
18SN19970924, A97, 4, 1, 20, 20, 2, 19970925, 0451, 70.5617, -141.7222, 490,    120.9,  -1.5283,  32.9941, 2,  32.9956, 2,    298.0, 2,    303.5, 2,    34.30, 2,    14.63, 2,     0.01, 2,     1.72, 2,    5.510, 2,    2.700, 2,    0.220, 2,    8.560, 2,   2189.4, 2,   2254.6, 2,  -1.5307
18SN19970924, A97, 4, 1, 19, 19, 2, 19970925, 0451, 70.5617, -141.7222, 490,    140.5,  -1.4191,  33.3754, 2,  33.3576, 2,    295.2, 2,    302.3, 2,    35.00, 2,    15.29, 2,     0.01, 2,     1.72, 2,    5.670, 2,    2.800, 2,    0.230, 2,    9.110, 2,   2193.1, 2,   2261.0, 2,  -1.4222
18SN19970924, A97, 4, 1, 18, 18, 2, 19970925, 0451, 70.5617, -141.7222, 490,    160.7,  -1.3688,  33.4715, 2,  33.4690, 2,    293.4, 2,    300.7, 2,    34.25, 2,    15.24, 2,     0.02, 2,     1.70, 2,    5.910, 2,    3.000, 2,    0.260, 2,    9.060, 2,   2202.8, 2,   2273.9, 2,  -1.3724
18SN19970924, A97, 4, 1, 17, 17, 2, 19970925, 0451, 70.5617, -141.7222, 490,    180.4,  -1.1430,  33.7761, 2,  33.7567, 2,    291.0, 2,    284.7, 2,    29.64, 2,    14.67, 2,     0.00, 2,     1.55, 2,    5.970, 2,    2.910, 2,    0.270, 2,    9.420, 2,   2203.4, 2,   2276.1, 2,  -1.1476
18SN19970924, A97, 4, 1, 16, 16, 2, 19970925, 0451, 70.5617, -141.7222, 490,    200.0,  -0.7689,  34.1631, 2,  34.1585, 2,    284.1, 2,    275.7, 2,    22.85, 2,    14.04, 2,     0.00, 2,     1.31, 2,    4.890, 2,    2.340, 2,    0.180, 2,    7.170, 2,   2211.3, 2,   2284.4, 3,  -0.7748
18SN19970924, A97, 4, 1, 15, 15, 2, 19970925, 0451, 70.5617, -141.7222, 490,    218.5,  -0.4876,  34.3771, 2,  34.3943, 2,    276.8, 2,    271.4, 2,    17.63, 2,    13.42, 2,     0.00, 2,     1.12, 2,    4.430, 2,    2.130, 2,    0.170, 2,    6.250, 2,   2192.3, 2,   2278.7, 2,  -0.4947
18SN19970924, A97, 4, 1, 12, 12, 2, 19970925, 0451, 70.5617, -141.7222, 490,    240.5,  -0.1947,  34.5481, 2,  34.5495, 2,    277.1, 2,    276.3, 2,    13.98, 2,    12.98, 2,     0.00, 2,     1.00, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.2033
18SN19970924, A97, 4, 1, 13, 13, 2, 19970925, 0451, 70.5617, -141.7222, 490,    240.5,  -0.2215,  34.5441, 2,  34.5465, 2,    277.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    3.960, 2,    1.830, 2,    0.080, 2,    5.600, 2,   2167.7, 2,   2281.3, 2,  -0.2300
