EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PMOL/KG,,PMOL/KG,,FMOL/KG,,DEGC
  06MT20030626,   336,  1,      9,20030705, 59.5515, -38.3380, 3091,   2023.3,   3.1361,  34.9154,2,    2.489,2,    1.307,2,     -999,9, 2.97941136
  06MT20030626,   336,  1,      8,20030705, 59.5515, -38.3380, 3091,   2277.6,   3.0207,  34.9243,2, -999.000,9, -999.000,9,     -999,9, 2.84195045
  06MT20030626,   336,  1,      7,20030705, 59.5515, -38.3380, 3091,   2532.8,   2.8897,  34.9288,2,    2.058,2,    1.081,2,     -999,9, 2.68859211
  06MT20030626,   336,  1,      6,20030705, 59.5515, -38.3380, 3091,   2736.6,   2.6766,  34.9213,2, -999.000,9, -999.000,9,     -999,9, 2.45951832
  06MT20030626,   336,  1,      5,20030705, 59.5515, -38.3380, 3091,   2838.6,   2.4901,  34.9084,2,    2.418,2,    1.279,2,     -999,9, 2.26671871
  06MT20030626,   336,  1,      4,20030705, 59.5515, -38.3380, 3091,   2939.2,   1.9153,  34.8876,2,    3.209,2,    1.751,2,     -999,9, 1.69423577
  06MT20030626,   336,  1,      3,20030705, 59.5515, -38.3380, 3091,   3039.3,   1.3939,  34.8877,2,    3.476,2,    1.905,2,     -999,9, 1.17461341
  06MT20030626,   336,  1,      2,20030705, 59.5515, -38.3380, 3091,   3080.9,   1.2134,  34.8920,2, -999.000,9, -999.000,9,     -999,9,0.994191673
  06MT20030626,   336,  1,      1,20030705, 59.5515, -38.3380, 3091,   3080.7,   1.2135,  34.8921,2,    3.459,2,    1.882,2,     -999,9,0.994307853
  06MT20030626,   337,  1,     22,20030706, 59.6152, -39.0002, 2968,     14.3,   7.6304,  34.8692,2,    3.878,2,    2.288,2,     -999,9, 7.62901201
  06MT20030626,   337,  1,     21,20030706, 59.6152, -39.0002, 2968,     54.5,   6.2626,  34.9024,2, -999.000,9, -999.000,9,     -999,9, 6.25786368
  06MT20030626,   337,  1,     20,20030706, 59.6152, -39.0002, 2968,    104.2,   4.5285,  34.8796,2,    4.078,2,    2.414,2,    1.125,2, 4.52082451
  06MT20030626,   337,  1,     19,20030706, 59.6152, -39.0002, 2968,    204.4,   4.3693,  34.9041,2, -999.000,9, -999.000,9,    1.062,2, 4.35433665
  06MT20030626,   337,  1,     18,20030706, 59.6152, -39.0002, 2968,    405.4,   4.0482,  34.9020,2, -999.000,9, -999.000,9,    0.369,2, 4.01892781
  06MT20030626,   337,  1,     17,20030706, 59.6152, -39.0002, 2968,    608.3,   3.6758,  34.8791,2, -999.000,9, -999.000,9,    0.576,2, 3.63273323
  06MT20030626,   337,  1,     16,20030706, 59.6152, -39.0002, 2968,    810.2,   3.5276,  34.8751,2, -999.000,9, -999.000,9,     -999,9, 3.46992337
  06MT20030626,   337,  1,     15,20030706, 59.6152, -39.0002, 2968,   1012.4,   3.5092,  34.8900,2,    3.291,2,    1.827,2,     -999,9, 3.43567824
  06MT20030626,   337,  1,     14,20030706, 59.6152, -39.0002, 2968,   1265.0,   3.3884,  34.8952,2, -999.000,9, -999.000,9,     -999,9, 3.29526688
  06MT20030626,   337,  1,     13,20030706, 59.6152, -39.0002, 2968,   1518.3,   3.2113,  34.8883,2, -999.000,9, -999.000,9,     -999,9, 3.09867535
  06MT20030626,   337,  1,     12,20030706, 59.6152, -39.0002, 2968,   1771.0,   3.1555,  34.8989,2, -999.000,9, -999.000,9,     -999,9,  3.0214757
  06MT20030626,   337,  1,     11,20030706, 59.6152, -39.0002, 2968,   1771.2,   3.1557,  34.8991,2, -999.000,9, -999.000,9,     -999,9, 3.02165465
  06MT20030626,   337,  1,     10,20030706, 59.6152, -39.0002, 2968,   1771.5,   3.1556,  34.8988,2, -999.000,9, -999.000,9,     -999,9, 3.02153018
  06MT20030626,   337,  1,      9,20030706, 59.6152, -39.0002, 2968,   2024.9,   3.0872,  34.9130,2,    2.438,2,    1.301,2,     -999,9, 2.93111068
  06MT20030626,   337,  1,      8,20030706, 59.6152, -39.0002, 2968,   2278.5,   2.9661,  34.9223,2, -999.000,9, -999.000,9,     -999,9, 2.78819284
  06MT20030626,   337,  1,      7,20030706, 59.6152, -39.0002, 2968,   2533.0,   2.7806,  34.9233,2,    2.179,2,    1.156,2,     -999,9, 2.58152356
  06MT20030626,   337,  1,      6,20030706, 59.6152, -39.0002, 2968,   2686.0,   2.5541,  34.9127,2, -999.000,9, -999.000,9,     -999,9, 2.34447511
  06MT20030626,   337,  1,      5,20030706, 59.6152, -39.0002, 2968,   2787.8,   2.1983,  34.8904,2,    3.310,2,    1.829,2,     -999,9, 1.98599152
  06MT20030626,   337,  1,      4,20030706, 59.6152, -39.0002, 2968,   2889.3,   1.6427,  34.8860,2,    3.401,2,    1.877,2,     -999,9, 1.43226174
  06MT20030626,   337,  1,      3,20030706, 59.6152, -39.0002, 2968,   2940.7,   1.3194,  34.8890,2, -999.000,9, -999.000,9,     -999,9, 1.11105115
  06MT20030626,   337,  1,      2,20030706, 59.6152, -39.0002, 2968,   2958.5,   1.3137,  34.8892,2, -999.000,9, -999.000,9,     -999,9, 1.10380902
  06MT20030626,   337,  1,      1,20030706, 59.6152, -39.0002, 2968,   2958.4,   1.3141,  34.8890,2, -999.000,9, -999.000,9,     -999,9, 1.10421065
  06MT20030626,   338,  1,     22,20030706, 59.7022, -39.6708, 2816,     13.1,   8.0939,  34.8290,2, -999.000,9, -999.000,9,     -999,9, 8.09258341
  06MT20030626,   338,  1,     21,20030706, 59.7022, -39.6708, 2816,     12.6,   8.0909,  34.8283,2, -999.000,9, -999.000,9,     -999,9,   8.089634
  06MT20030626,   338,  1,     20,20030706, 59.7022, -39.6708, 2816,     54.0,   5.3262,  34.8626,2, -999.000,9, -999.000,9,     -999,9, 5.32190468
  06MT20030626,   338,  1,     19,20030706, 59.7022, -39.6708, 2816,    103.7,   5.0303,  34.9181,2,    3.985,2,    2.338,2,    1.602,2, 5.02224453
  06MT20030626,   338,  1,     18,20030706, 59.7022, -39.6708, 2816,    204.8,   4.3730,  34.8719,2, -999.000,9, -999.000,9,    0.891,2, 4.35801194
  06MT20030626,   338,  1,     17,20030706, 59.7022, -39.6708, 2816,    401.0,   4.0906,  34.8907,2, -999.000,9, -999.000,9,    1.359,2, 4.06153284
  06MT20030626,   338,  1,     16,20030706, 59.7022, -39.6708, 2816,    605.1,   3.7291,  34.8817,2,    3.804,2,    2.165,2,     -999,9, 3.68601883
  06MT20030626,   338,  1,     15,20030706, 59.7022, -39.6708, 2816,    809.7,   3.4662,  34.8643,2,    3.852,2,    2.136,2,    1.206,2, 3.40896518
  06MT20030626,   338,  1,     14,20030706, 59.7022, -39.6708, 2816,   1010.9,   3.5229,  34.8943,2,    3.351,2,    1.804,2,     -999,9, 3.44938421
  06MT20030626,   338,  1,     13,20030706, 59.7022, -39.6708, 2816,   1264.5,   3.3819,  34.9017,2, -999.000,9, -999.000,9,    0.702,2, 3.28885779
  06MT20030626,   338,  1,     12,20030706, 59.7022, -39.6708, 2816,   1515.3,   3.1905,  34.8919,2, -999.000,9, -999.000,9,     -999,9, 3.07836322
  06MT20030626,   338,  1,     11,20030706, 59.7022, -39.6708, 2816,   1515.0,   3.1904,  34.8919,2, -999.000,9, -999.000,9,     -999,9, 3.07829002
  06MT20030626,   338,  1,     10,20030706, 59.7022, -39.6708, 2816,   1515.4,   3.1905,  34.8920,2, -999.000,9, -999.000,9,     -999,9, 3.07835442
  06MT20030626,   338,  1,      9,20030706, 59.7022, -39.6708, 2816,   1767.5,   3.1490,  34.9095,2,    2.733,2,    1.452,2,    0.162,2, 3.01534256
  06MT20030626,   338,  1,      8,20030706, 59.7022, -39.6708, 2816,   2022.2,   3.0781,  34.9248,2,    2.291,2,    1.225,2,    0.216,2,  2.9223576
  06MT20030626,   338,  1,      7,20030706, 59.7022, -39.6708, 2816,   2277.1,   2.8322,  34.9208,2, -999.000,9, -999.000,9,     -999,9, 2.65669098
  06MT20030626,   338,  1,      6,20030706, 59.7022, -39.6708, 2816,   2530.5,   2.5036,  34.9129,2,    2.366,2,    1.338,2,     -999,9, 2.30996927
