BOTTLE,20180319PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20091006 
# DATES: 20091006 - 2009XXYY 
# Chief Scientist: Craig Lee 
# 99 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20091006, Davis,     8,  1, 358789,      3,2,20091008,0528, 67.0367, -57.0514,  701,    502.3,   3.7903,  34.7608,2,    13.41,2,    16.51,2,     0.09,2,     1.13,2,     0.22,2,   2200.5,2,   2255.6,2,  -999.00,9, 20091008,      528
  316N20091006, Davis,     8,  1, 358790,      4,2,20091008,0528, 67.0367, -57.0514,  701,    402.6,   3.0810,  34.6029,2,    14.10,2,    14.74,2,     0.09,2,     1.14,2,     0.13,2,   2175.6,2,   2281.2,2,    -0.01,2, 20091008,      528
  316N20091006, Davis,     8,  1, 358791,      5,2,20091008,0528, 67.0367, -57.0514,  701,    302.6,   3.9415,  34.5635,2,     7.49,2,    13.67,2,     0.09,2,     0.93,2,     0.27,2,   2177.1,2,   2245.2,2,  -999.00,9, 20091008,      528
  316N20091006, Davis,     8,  1, 358792,      6,2,20091008,0528, 67.0367, -57.0514,  701,    203.0,   3.2069,  34.2354,2,     5.52,2,    10.88,2,     0.10,2,     0.84,2,     0.27,2,   2130.2,2,   2236.6,2,  -999.00,9, 20091008,      528
  316N20091006, Davis,     8,  1, 358793,      7,2,20091008,0528, 67.0367, -57.0514,  701,    103.2,  -1.5878,  33.5340,2,     9.53,2,     9.16,2,     0.10,2,     0.92,2,     0.14,2,   2154.0,2,   2220.1,2,    -1.08,2, 20091008,      528
  316N20091006, Davis,     8,  1, 358794,      8,2,20091008,0528, 67.0367, -57.0514,  701,     53.7,   0.8513,  33.3751,2,     5.61,2,     5.85,2,     0.31,2,     0.72,2,     1.77,2,   2100.4,2,   2228.5,2,    -0.93,2, 20091008,      528
  316N20091006, Davis,     8,  1, 358795,      9,2,20091008,0528, 67.0367, -57.0514,  701,     33.6,   3.1080,  33.0972,2,     1.81,2,     1.42,2,     0.18,2,     0.35,2,      1.1,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091008,      528
  316N20091006, Davis,     8,  1, 358796,     10,2,20091008,0528, 67.0367, -57.0514,  701,     23.9,   3.1017,  33.0897,2,     1.65,2,     1.19,2,     0.18,2,     0.34,2,     1.04,2,   2050.7,2,   2189.7,2,    -0.74,2, 20091008,      528
  316N20091006, Davis,     8,  1, 358798,     12,2,20091008,0528, 67.0367, -57.0514,  701,      3.3,   3.0843,  33.0890,2,     1.66,2,     1.20,2,     0.18,2,     0.34,2,     0.93,2,   2064.6,2,   2151.3,2,    -0.77,2, 20091008,      528
  316N20091006, Davis,    10,  1, 358799,      1,2,20091008,2207, 66.9844, -57.6836,  867,    861.5,   1.1172,  34.5040,2,    30.02,2,    16.26,2,     0.09,2,     1.37,2,     0.13,2,   2244.6,2,   2228.7,2,    -0.13,2, 20091008,     2207
