EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
58JH1092_1, AR18, 934, 1, 6, 6, 2, 19920715, 1040, 63.7317, -5.9492, 2372,    745.1,  -0.4000,  34.9070, 2, -999.0000, 9,    302.9, 2,     7.99, 2,    14.30, 2,     0.01, 2,     1.03, 2,   2159.1, 2,    334.1, 2,    -0.43,   -999.0, 9,   -999.0,     1.00, 2,  -0.4291
58JH1092_1, AR18, 934, 1, 5, 5, 2, 19920715, 1040, 63.7317, -5.9492, 2372,    991.1,  -0.6330,  34.9132, 2,  34.9100, 2,    300.9, 2,     9.07, 2,    14.53, 2,     0.01, 2,     1.02, 2,   2159.9, 2,    329.9, 2,    -0.67,   -999.0, 9,   -999.0,  -999.00, 9,  -0.6720
58JH1092_1, AR18, 934, 1, 4, 4, 2, 19920715, 1040, 63.7317, -5.9492, 2372,   1485.5,  -0.8390,  34.9158, 2, -999.0000, 9,    303.2, 2,    10.54, 2,    14.77, 2,     0.01, 2,     1.08, 2,   2149.9, 2,    324.8, 2,    -0.90,   -999.0, 9,   -999.0,  -999.00, 9,  -0.9016
58JH1092_1, AR18, 934, 1, 3, 3, 4, 19920715, 1040, 63.7317, -5.9492, 2372,   1783.0,  -0.8890,  34.9153, 2, -999.0000, 9,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,  -0.9681
58JH1092_1, AR18, 934, 1, 2, 2, 2, 19920715, 1040, 63.7317, -5.9492, 2372,   1982.5,  -0.9050,  34.9144, 2,  34.9130, 2,    304.5, 2,    11.23, 2,    14.90, 2,     0.02, 2,     1.09, 2,   2160.3, 2,    322.5, 2,    -1.00,   -999.0, 9,   -999.0,     1.07, 2,  -0.9962
58JH1092_1, AR18, 934, 1, 1, 1, 2, 19920715, 1040, 63.7317, -5.9492, 2372,   2330.3,  -0.9010,  34.9142, 2,  34.9120, 2,    303.3, 2,    11.55, 2,    14.92, 2,     0.01, 2,     1.07, 2,   2159.6, 2,    322.8, 2,    -1.02,   -999.0, 9,   -999.0,     1.16, 2,  -1.0153
58JH1092_1, AR18, 935, 1, 12, 12, 2, 19920715, 1416, 63.4432, -6.9062, 1314,      5.3,   9.4960,  35.1505, 2, -999.0000, 9,    305.7, 2,     1.32, 2,     3.73, 2,     0.09, 2,     0.34, 2,   2050.1, 2,    264.5, 2,     9.50,   -999.0, 9,   -999.0,  -999.00, 9,   9.4954
58JH1092_1, AR18, 935, 1, 11, 11, 2, 19920715, 1416, 63.4432, -6.9062, 1314,     26.5,   9.4690,  35.1755, 2, -999.0000, 9,    296.8, 2,     1.83, 2,     5.61, 2,     0.12, 2,     0.43, 2,   2080.7, 2,    289.0, 2,     9.47,   -999.0, 9,   -999.0,  -999.00, 9,   9.4660
58JH1092_1, AR18, 935, 1, 10, 10, 2, 19920715, 1416, 63.4432, -6.9062, 1314,     50.3,   8.1860,  35.1858, 2, -999.0000, 9,    279.8, 2,     4.88, 2,    12.62, 2,     0.14, 2,     0.85, 2,   2128.0, 2,    359.2, 2,     8.18,   -999.0, 9,   -999.0,  -999.00, 9,   8.1809
58JH1092_1, AR18, 935, 1, 9, 9, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    100.7,   7.7460,  35.2084, 2, -999.0000, 9,    277.6, 2,     6.28, 2,    13.86, 2,     0.02, 2,     0.91, 2,   2136.8, 2,    370.8, 2,     7.74,   -999.0, 9,   -999.0,  -999.00, 9,   7.7360
