EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     3,  1,      1,2,19940828, 66.0020,   4.3120, 1304,    976.1,  -0.9280,  34.9109,2,  34.9100,2,    302.1,2,    298.6,2,    11.99,2,    14.86,2,     0.08,2,     1.26,2,   2161.5,2,   2338.5,3, -0.963923937
  58AA19940826,   GNS,     4,  1,     12,2,19940828, 66.0000,   4.3170, 1302,      2.0,  12.5530,  34.9878,2,-999.0000,9,    268.0,2,    269.5,2,     1.85,2,     0.13,2,     0.09,2,     0.32,2,   2040.4,2,   2352.9,2,   12.5527333
  58AA19940826,   GNS,     4,  1,     11,2,19940828, 66.0000,   4.3170, 1302,     11.7,  12.4767,  34.9908,2,-999.0000,9,    269.9,2,    271.2,2,     1.96,2,     0.53,2,     0.09,2,     0.36,2,   2051.8,2,   2363.2,2,   12.4751454
  58AA19940826,   GNS,     4,  1,     10,2,19940828, 66.0000,   4.3170, 1302,     21.8,  10.9287,  34.9847,2,-999.0000,9,    281.0,2,    278.5,2,     3.28,2,     5.75,2,     0.26,2,     0.65,2,   2097.4,2,   2357.8,2,   10.9260452
  58AA19940826,   GNS,     4,  1,      9,2,19940828, 66.0000,   4.3170, 1302,     51.0,   8.5022,  35.2516,2,-999.0000,9,    268.8,2,    268.4,2,     5.54,2,    11.83,2,     0.11,2,     0.95,2,   2136.6,2,   2354.8,2,   8.49687216
  58AA19940826,   GNS,     4,  1,      8,2,19940828, 66.0000,   4.3170, 1302,     82.0,   7.6046,  35.1804,2,-999.0000,9,    276.4,2,    276.6,2,     6.15,2,    12.27,2,     0.09,2,     0.96,2,   2138.0,2,   2353.3,2,   7.59658003
  58AA19940826,   GNS,     4,  1,      7,2,19940828, 66.0000,   4.3170, 1302,    101.8,   7.1010,  35.1446,2,-999.0000,9,    278.7,2,    278.8,2,     6.07,2,    12.20,2,     0.08,2,     0.98,2,   2140.3,2,   2351.7,2,   7.09142501
  58AA19940826,   GNS,     4,  1,      6,2,19940828, 66.0000,   4.3170, 1302,    201.7,   6.2018,  35.1172,2,-999.0000,9,    280.5,2,   -999.0,9,     6.49,2,    12.25,2,     0.09,2,     1.05,2,   2141.6,2,   2356.0,3,    6.1840863
  58AA19940826,   GNS,     4,  1,      5,2,19940828, 66.0000,   4.3170, 1302,    400.8,   3.0648,  34.9711,2,  34.9740,2,    301.6,2,    302.1,2,     6.61,2,    12.77,2,     0.11,2,     1.05,2,   2146.3,2,   2339.5,3,   3.03895145
  58AA19940826,   GNS,     4,  1,      4,2,19940828, 66.0000,   4.3170, 1302,    601.0,   0.3846,  34.8949,2,  34.8980,2,    298.3,2,    286.9,4,     7.81,2,    13.44,2,     0.07,2,     1.08,2,   2160.1,2,   2333.4,3,  0.357995391
