EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JH19940525,   75N,   315,  1,     12,     10,2,19940527, 69.0000,   6.6667, 3197,     20.0,   6.5820,  35.0860,2,    315.4,2,     3.60,2,     7.20,2,     0.11,2,     0.62,2,   -999.0,9,   -999.0,9,   6.5782
  58JH19940525,   75N,   315,  1,     13,      9,2,19940527, 69.0000,   6.6667, 3197,     30.0,   6.3110,  35.0800,2,    313.6,2,     4.10,2,     8.40,2,     0.13,2,     0.75,2,   -999.0,9,   -999.0,9,   6.3074
  58JH19940525,   75N,   315,  1,     14,      8,2,19940527, 69.0000,   6.6667, 3197,     50.0,   5.9600,  35.0900,2,    296.8,2,     4.80,2,    11.70,2,     0.32,2,     0.88,2,   -999.0,9,   -999.0,9,   5.9558
  58JH19940525,   75N,   315,  1,     15,      7,2,19940527, 69.0000,   6.6667, 3197,     75.0,   5.7630,  35.0820,2,    293.6,2,     4.90,2,    12.20,2,     0.21,2,     0.87,2,   -999.0,9,   -999.0,9,   5.7537
  58JH19940525,   75N,   315,  1,     16,      6,2,19940527, 69.0000,   6.6667, 3197,    100.0,   5.6110,  35.0880,2,    302.7,2,     5.10,2,    12.00,2,     0.09,2,     0.89,2,   -999.0,9,   -999.0,9,   5.6018
  58JH19940525,   75N,   315,  1,     17,      5,2,19940527, 69.0000,   6.6667, 3197,    150.0,   5.2900,  35.0720,2,    295.0,2,     5.10,2,    12.50,2,     0.08,2,     0.92,2,   -999.0,9,   -999.0,9,   5.2780
  58JH19940525,   75N,   315,  1,     18,      4,2,19940527, 69.0000,   6.6667, 3197,    200.0,   5.0920,  35.0720,2,    298.6,2,     5.10,2,    12.30,2,     0.16,2,     0.90,2,   -999.0,9,   -999.0,9,   5.0742
  58JH19940525,   75N,   315,  1,     19,      3,2,19940527, 69.0000,   6.6667, 3197,    300.0,   4.5950,  35.0640,2,    300.9,2,     5.20,2,    12.50,2,     0.05,2,     0.90,2,   -999.0,9,   -999.0,9,   4.5772
  58JH19940525,   75N,   315,  1,     20,      2,2,19940527, 69.0000,   6.6667, 3197,    400.0,   4.4790,  35.0670,2,    302.3,2,     5.20,2,    12.60,2,     0.03,2,     0.90,2,   -999.0,9,   -999.0,9,   4.4497
  58JH19940525,   75N,   315,  1,     21,      1,2,19940527, 69.0000,   6.6667, 3197,    500.0,   4.3750,  35.0720,2,    303.6,2,     5.20,2,    12.80,2,     0.02,2,     0.92,2,   -999.0,9,   -999.0,9,   4.3421
