EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  74JC19960720,   GNS,     9,  1,      6,2,19960726,1419, 74.0500,  -6.4100, 3425,   1759.0,  -0.8900,  34.9010,2,  34.9050,2,    263.0,3,    10.54,2,    17.76,2,     0.98,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2161.8,2,   2283.0,2,  -0.9677
  74JC19960720,   GNS,     9,  1,      5,2,19960726,1419, 74.0500,  -6.4100, 3425,   2012.1,  -0.9300,  34.9020,2,  34.9040,2,    261.3,3,    10.83,2,    18.54,3,     0.98,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2161.7,2,   2281.0,2,  -1.0227
  74JC19960720,   GNS,     9,  1,      4,2,19960726,1419, 74.0500,  -6.4100, 3425,   2564.4,  -0.9700,  34.9000,2,  34.9030,2,    263.9,3,    11.12,2,    17.46,2,     0.98,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2159.9,2,   -999.0,9,  -1.0996
  74JC19960720,   GNS,     9,  1,      3,2,19960726,1419, 74.0500,  -6.4100, 3425,   3029.2,  -0.9910,  34.8980,2,  34.9000,2,    265.2,3,    11.90,2,    19.80,3,     0.98,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2160.0,2,   -999.0,9,  -1.1555
  74JC19960720,   GNS,     9,  1,      1,2,19960726,1419, 74.0500,  -6.4100, 3425,   3407.3,  -0.9720,  34.8960,2,  34.8990,2,    266.1,3,    11.71,2,    17.76,2,     0.97,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2160.7,2,   2278.0,2,  -1.1682
  74JC19960720,   GNS,    10,  1,     24,2,19960726,2032, 74.2500,  -8.5300, 3307,      0.0,   2.4420,  32.0670,2,  32.0670,2,    351.7,2,     0.00,2,     1.95,2,     0.08,2,    5.552,   2,    3.405,   2,    0.509,   2, -999.000,   9,     -999,   9,   1951.2,2,   2110.0,2,   2.4420
  74JC19960720,   GNS,    10,  1,     23,2,19960726,2032, 74.2500,  -8.5300, 3307,      5.1,   2.4520,  32.0740,2,  32.1020,2,    360.4,2,     0.20,2,     1.07,2,     0.10,2,    5.830,   2,    2.767,   2,    0.528,   2,    7.511,   2,     1.53,   2,   1951.7,2,   2111.0,2,   2.4517
  74JC19960720,   GNS,    10,  1,     22,2,19960726,2032, 74.2500,  -8.5300, 3307,     14.5,   0.2900,  33.8650,2,  33.5860,2,    406.5,2,     3.71,2,     3.71,2,     0.29,2,    5.790,   2,    3.560,   2,    0.542,   2, -999.000,   9,     1.59,   2,   2022.2,2,   2209.0,2,   0.2895
  74JC19960720,   GNS,    10,  1,     21,2,19960726,2032, 74.2500,  -8.5300, 3307,     25.8,  -0.8440,  34.3910,2,  34.4180,2,    406.1,2,     4.59,2,     8.20,2,     0.52,2,    5.865,   2,    2.807,   2,    0.506,   2,    7.036,   2,     1.51,   2,   2092.5,2,   2257.0,2,  -0.8447
  74JC19960720,   GNS,    10,  1,     20,2,19960726,2032, 74.2500,  -8.5300, 3307,     45.4,  -0.5760,  34.6270,2,  34.6490,2,    356.5,2,     5.27,2,    11.02,2,     0.67,2,    5.432,   2,    3.254,   2,    0.500,   2, -999.000,   9,     1.41,   2,   2127.9,2,   2267.0,2,  -0.5774
  74JC19960720,   GNS,    10,  1,     19,2,19960726,2032, 74.2500,  -8.5300, 3307,     72.2,   0.6090,  34.8280,2,  34.8260,2,    327.0,2,     5.76,2,    14.05,2,     0.78,2,    4.856,   2,    2.389,   2,    0.403,   2,    5.679,   2,     1.29,   2,   2152.2,2,   2276.0,2,   0.6060
  74JC19960720,   GNS,    10,  1,     18,2,19960726,2032, 74.2500,  -8.5300, 3307,     95.9,   1.0870,  34.8950,2,  34.8910,2,    317.4,2,     6.24,2,    14.73,2,     0.82,2,    4.321,   2,    2.382,   2,    0.392,   2,    5.051,   2,     1.04,   2,   2151.4,2,   2280.0,2,   1.0826
  74JC19960720,   GNS,    10,  1,     17,2,19960726,2032, 74.2500,  -8.5300, 3307,    120.4,   0.6840,  34.8810,2,  34.8870,2,    313.9,2,     6.24,2,    15.22,2,     0.98,3,    3.864,   2,    1.943,   2,    0.301,   2,    4.714,   2,     0.83,   2,   2152.0,2,   2278.0,2,   0.6789
  74JC19960720,   GNS,    10,  1,     16,2,19960726,2032, 74.2500,  -8.5300, 3307,    145.9,   0.6480,  34.8900,2,  34.8940,2,    310.4,2,     6.54,2,    15.22,2,     0.85,2,    3.308,   2,    1.683,   2,    0.244,   2,    4.300,   2,     0.84,   2,   2153.5,2,   2280.0,2,   0.6418
  74JC19960720,   GNS,    10,  1,     15,2,19960726,2032, 74.2500,  -8.5300, 3307,    196.4,   0.2600,  34.8860,2,  34.8830,2,    314.4,2,     6.54,2,    15.32,2,     0.89,2,    3.512,   2,    1.798,   2,    0.271,   2,    4.427,   2,     -999,   9,   2153.5,2,   2277.0,2,   0.2522
  74JC19960720,   GNS,    10,  1,     14,2,19960726,2032, 74.2500,  -8.5300, 3307,    246.9,  -0.0090,  34.8820,2,  34.8880,2,    321.3,2,     6.54,2,    15.41,2,     0.85,2,    3.506,   2,    1.791,   2,    0.276,   2,    4.547,   2,     0.76,   2,   2153.9,2,   2279.0,2,  -0.0183
  74JC19960720,   GNS,    10,  1,     13,2,19960726,2032, 74.2500,  -8.5300, 3307,    296.9,  -0.1900,  34.8810,2,  34.8850,2,    317.4,2,     6.54,2,    15.51,2,     0.85,2,    3.606,   2,    1.767,   2,    0.280,   2,    4.558,   2,     0.91,   2,   2157.3,2,   2273.0,2,  -0.2009
  74JC19960720,   GNS,    10,  1,     12,2,19960726,2032, 74.2500,  -8.5300, 3307,    397.4,  -0.4740,  34.8780,2,  34.8820,2,    321.3,2,     6.83,2,    15.51,2,     0.85,2,    3.864,   2,    1.975,   2,    0.286,   2,    4.831,   2,     -999,   9,   2158.5,2,   -999.0,9,  -0.4880
  74JC19960720,   GNS,    10,  1,     11,2,19960726,2032, 74.2500,  -8.5300, 3307,    498.0,  -0.4710,  34.8870,2,  34.8930,2,    317.4,2,     7.12,2,    15.71,2,     0.89,2,    3.466,   2,    1.705,   2,    0.261,   2,    4.421,   2,     0.69,   2,   2160.8,2,   -999.0,9,  -0.4890
  74JC19960720,   GNS,    10,  1,     10,2,19960726,2032, 74.2500,  -8.5300, 3307,    745.0,  -0.7830,  34.8790,2,  34.8840,2,    322.6,2,     7.22,2,    15.71,2,     0.89,2,    3.765,   2,    1.914,   2,    0.294,   2,    4.800,   2,     0.78,   2,   2161.4,2,   -999.0,9,  -0.8097
  74JC19960720,   GNS,    10,  1,      9,2,19960726,2032, 74.2500,  -8.5300, 3307,   1001.7,  -0.8590,  34.8810,2,  34.8840,2,    322.6,2,     7.41,2,    15.90,2,     0.90,2,    3.628,   2,    1.758,   2,    0.276,   2,    4.604,   2,     0.69,   2,   2163.1,2,   -999.0,9,  -0.8966
  74JC19960720,   GNS,    10,  1,      8,2,19960726,2032, 74.2500,  -8.5300, 3307,   1254.1,  -0.7600,  34.8980,2,  34.9000,2,    309.1,2,     8.98,2,    16.78,2,     0.94,2,    1.851,   2,    0.951,   2,    0.135,   2,    3.058,   2,     0.23,   2,   2162.4,2,   -999.0,9,  -0.8110
  74JC19960720,   GNS,    10,  1,      7,2,19960726,2032, 74.2500,  -8.5300, 3307,   1506.8,  -0.8020,  34.9030,2,  34.9080,2,   -999.0,9,     9.85,2,    17.17,2,     0.97,2,    1.263,   2,    0.565,   2,    0.067,   2,    2.392,   2,     -999,   9,   2162.0,2,   2281.0,2,  -0.8662
  74JC19960720,   GNS,    10,  1,      6,2,19960726,2032, 74.2500,  -8.5300, 3307,   1759.7,  -0.8670,  34.9040,2,  34.9060,2,    309.1,2,    10.34,2,    17.27,2,     0.98,2,    0.941,   2,    0.520,   2,    0.055,   2,    2.146,   2,     -999,   9,   2161.8,2,   -999.0,9,  -0.9450
