EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  58GS20060721,   75N,   255,  1,     19,2,20060724,1520, 75.0000, -11.8000, 1945,     10.8,   3.7635,  33.7830,2,  33.8341,2,    358.2,2,    357.0,2,     0.29,2,     0.02,2,     0.02,2,     0.10,2,    6.221,2,    3.169,2,   2042.2,2,   2256.8,2,   3.7628
  58GS20060721,   75N,   256,  1,      1,2,20060724,1827, 75.0000, -12.1700, 1483,   1448.1,  -0.5298,  34.9110,2,  34.9091,2,    304.8,2,    303.6,2,     8.81,2,    14.01,2,     0.00,2,     0.92,2,    2.711,2,    1.385,2,   2160.0,2,   2299.8,2,  -0.5940
  58GS20060721,   75N,   256,  1,      2,2,20060724,1827, 75.0000, -12.1700, 1483,   1000.7,  -0.4023,  34.9050,2,  34.9005,2,    306.4,2,    306.2,2,     7.81,2,    13.61,2,     0.00,2,     0.89,2,    3.343,2,    1.551,2,   2159.6,2,   2298.3,2,  -0.4437
  58GS20060721,   75N,   256,  1,      3,2,20060724,1827, 75.0000, -12.1700, 1483,    801.4,  -0.0388,  34.9170,2,  34.9082,2,    319.4,2,    318.5,2,     6.34,2,    12.99,2,     0.00,2,     0.82,2,    5.037,2,    2.413,2,   2160.4,2,   2294.9,2,  -0.0729
  58GS20060721,   75N,   256,  1,      4,2,20060724,1827, 75.0000, -12.1700, 1483,    650.6,   0.2707,  34.9290,2,  34.9223,2,    317.7,2,    317.5,2,     6.03,2,    12.79,2,     0.00,2,     0.81,2,    5.069,2,    2.514,2,   2159.4,2,   2300.6,2,   0.2422
  58GS20060721,   75N,   256,  1,      5,2,20060724,1827, 75.0000, -12.1700, 1483,    549.3,   0.1681,  34.8980,2,  34.8961,2,    302.6,2,    303.7,2,     6.63,2,    12.83,2,     0.00,2,     0.82,2,    3.792,2,    1.841,2,   2156.8,2,   2297.9,2,   0.1450
  58GS20060721,   75N,   256,  1,      6,2,20060724,1827, 75.0000, -12.1700, 1483,    460.3,   0.9219,  34.9530,2,  34.9448,2,    315.7,2,    315.3,2,     5.74,2,    12.52,2,     0.04,2,     0.80,2,    5.295,2,    2.550,2,   2157.8,2,   2299.6,2,   0.9000
  58GS20060721,   75N,   256,  1,      7,3,20060724,1827, 75.0000, -12.1700, 1483,    441.2,   0.8635,  34.9410,2,  34.9370,2,    314.7,2,    315.2,2,     5.85,2,    12.28,2,     0.09,2,     0.81,2,    5.139,2,    2.451,2,   2155.1,2,   2300.0,2,   0.8428
  58GS20060721,   75N,   256,  1,      8,3,20060724,1827, 75.0000, -12.1700, 1483,    399.4,   1.2124,  34.9590,2,  34.9564,2,    319.6,2,    317.0,2,     5.64,2,    11.92,2,     0.16,2,     0.82,2,    5.403,2,    2.604,2,   2154.4,2,   2303.2,2,   1.1926
  58GS20060721,   75N,   256,  1,      9,9,20060724,1827, 75.0000, -12.1700, 1483,    399.6,   1.2134,  34.9590,2,-999.0000,9,    319.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.1936
