EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
58AA19950217, 75N, 6, 1, 7673, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   1799.9,  -0.9510,  34.9050, 2,  34.9050, 2,    305.5, 2,    10.00, 2,    12.20, 2,     0.07, 2,     1.03, 2,    1.090, 2,    0.430, 2,    0.000, 2,   2139.3, 2,   2289.0, 2,    7.7092, 2,     25.00,  -1.0302
58AA19950217, 75N, 6, 1, 7674, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   2001.0,  -0.9720,  34.9060, 2,  34.9050, 2,    305.1, 2,    10.10, 2,    12.40, 2,     0.07, 2,     1.07, 2,    0.930, 2,    0.650, 2,    0.000, 2,   2141.5, 2,   2275.0, 2,    7.7122, 2,     25.00,  -1.0633
58AA19950217, 75N, 6, 1, 7675, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   2503.5,  -0.9900,  34.9070, 2,  34.9060, 2,    304.2, 2,    10.80, 2,    12.70, 2,     0.06, 2,     1.06, 2,    0.870, 2, -999.000, 9,    0.000, 2,   2146.8, 2,   2287.0, 2,    7.7150, 2,     25.00,  -1.1148
58AA19950217, 75N, 6, 1, 7676, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   2698.8,  -0.9980,  34.9060, 2,  34.9060, 2,    306.8, 2,    10.80, 2,    12.70, 2,     0.06, 2,     1.05, 2,    0.870, 2,    0.480, 2,    0.000, 2,   2145.2, 2,   2285.0, 2,    7.7112, 2,     25.00,  -1.1369
58AA19950217, 75N, 6, 1, 7677, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   3000.5,  -1.0010,  34.9040, 2,  34.9040, 2,   -999.0, 9,    10.70, 2,    12.40, 2,     0.07, 2,     1.06, 2,    0.820, 2,    0.370, 2,    0.000, 2,   2146.3, 2,   2286.0, 2,    7.7121, 2,     25.00,  -1.1630
58AA19950217, 75N, 6, 1, 7678, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   3099.9,  -1.0050,  34.9030, 2,  34.9030, 2,   -999.0, 9,    10.70, 2,    12.20, 2,     0.07, 2,     1.04, 2,    0.810, 2,    0.340, 2,    0.000, 2,   2153.9, 2,   2285.0, 2,    7.7121, 2,     25.00,  -1.1748
58AA19950217, 75N, 6, 1, 7679, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   3197.2,  -1.0060,  34.9030, 2,  34.9030, 2,    308.6, 2,    10.80, 2,    12.90, 2,     0.07, 2,     1.03, 2,    0.810, 2, -999.000, 9,    0.000, 2,   -999.0, 9,   2283.0, 2,    7.7112, 2,     25.00,  -1.1837
58AA19950217, 75N, 6, 1, 7680, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   3218.8,  -1.0050,  34.9030, 2,  34.9020, 2,    307.7, 2,    10.60, 2,    13.40, 2,     0.07, 2,     1.04, 2,    0.690, 2,    0.360, 2,    0.000, 2,   2142.2, 2,   2279.0, 2,    7.7112, 2,     25.00,  -1.1845
58AA19950217, 75N, 6, 2, 7681, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     11.6,  -0.1300,  34.9070, 2,  34.9060, 2,    329.9, 2,     6.40, 2,    10.90, 2,     0.07, 2,     1.01, 2,    6.620, 2,    3.410, 2,    0.360, 2,   2158.9, 2,   2280.0, 2,    7.7305, 2,     25.00,  -0.1304
58AA19950217, 75N, 6, 2, 7682, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     22.0,  -0.1260,  34.9070, 2,  34.9060, 2,    329.0, 2,     6.40, 2,    11.30, 2,     0.07, 2,     0.96, 2,    5.280, 2,    2.790, 2,    0.410, 2,   2155.7, 2,   2281.0, 2,    7.7228, 2,     25.00,  -0.1268
58AA19950217, 75N, 6, 2, 7683, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     30.3,  -0.1240,  34.9070, 2,  34.9070, 2,    329.9, 2,     6.40, 2,    11.00, 2,     0.07, 2,     0.95, 2,    5.260, 2,    2.500, 2,    0.390, 2,   2150.3, 2,   -999.0, 9,    7.7246, 2,     25.00,  -0.1251
58AA19950217, 75N, 6, 2, 7684, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     50.9,  -0.1240,  34.9070, 2,  34.9070, 2,    330.7, 2,     6.40, 2,    11.20, 2,     0.07, 2,     0.95, 2,    5.200, 2,    2.570, 2,    0.390, 2,   2142.4, 2,   2281.0, 2,    7.7276, 2,     25.00,  -0.1258
58AA19950217, 75N, 6, 2, 7685, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     81.4,  -0.1260,  34.9070, 2,  34.9060, 2,    332.5, 2,     6.40, 2,    11.40, 2,     0.07, 2,     0.93, 2,    3.660, 2,    2.700, 2,    0.240, 2,   2139.2, 2,   -999.0, 9,    7.7237, 2,     25.00,  -0.1289
58AA19950217, 75N, 6, 2, 7686, 2, 19950225, 0000, 75.0050, -7.0180, 3228,     94.3,  -0.1440,  34.9060, 2,  34.9060, 2,    330.3, 2,     6.30, 2,  -999.00, 9,     0.07, 2,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   2143.6, 2,   2285.0, 2,    7.7199, 2,     25.00,  -0.1473
58AA19950217, 75N, 6, 2, 7687, 2, 19950225, 0000, 75.0050, -7.0180, 3228,    199.1,  -0.2420,  34.9030, 2,  34.9020, 2,    330.7, 2,     6.50, 2,    10.40, 2,     0.07, 2,     0.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2147.8, 2,   -999.0, 9,    7.7227, 2,     25.00,  -0.2490
