EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  90JS20080815,ISSS08,     6,  1,      5,2,20080824,   0, 74.7240, 130.0160,   42,     28.5,  -1.6000,  32.3000,2,-999.0000,9,    274.4,2,    13.70,2,     4.40,2,     0.70,2,     -999,9,    9.340,2,    3.960,2,    0.490,2,    6.180,2,   2208.6,2,   2232.4,2,   7.5400,2,    15.00
  90JS20080815,ISSS08,     6,  1,      4,2,20080824,   0, 74.7240, 130.0160,   42,     15.7,  -1.2000,  28.4000,2,-999.0000,9,    347.5,2,    20.20,2,     2.60,2,     0.50,2,     -999,9,    9.820,2,    4.080,2,    0.540,2,    7.310,2,   2106.6,2,   2145.0,2,   7.6100,2,    15.00
  90JS20080815,ISSS08,     6,  1,      3,2,20080824,   0, 74.7240, 130.0160,   42,     10.1,  -1.0000,  22.5000,2,-999.0000,9,    368.1,2,    32.30,2,     2.10,2,     0.03,2,     -999,9,    9.700,2,    4.200,2,    0.570,2,    7.290,2,   1752.5,2,   1772.4,2,   7.5600,2,    15.00
  90JS20080815,ISSS08,     6,  1,      2,2,20080824,   0, 74.7240, 130.0160,   42,      4.4,   7.1000,   5.3000,2,-999.0000,9,    364.9,2,    39.50,2,     0.30,2,     0.00,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    956.8,2,    991.1,2,   7.6200,2,    15.00
  90JS20080815,ISSS08,     6,  1,      1,2,20080824,   0, 74.7240, 130.0160,   42,      2.2,   7.1000,   5.3000,2,-999.0000,9,    365.8,2,    39.70,2,     0.30,2,     0.00,2,     -999,9,    7.540,2,    3.440,2,    0.410,2,    6.750,2,    955.1,2,    989.9,2,   7.6200,2,    15.00
  90JS20080815,ISSS08,     7,  1,      5,2,20080824,   0, 74.1320, 130.0000,   29,     15.6,  -1.3000,  28.9000,2,-999.0000,9,    308.1,2,    24.00,2,     4.20,2,     0.50,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2143.4,2,   2163.9,2,   7.5200,2,    15.00
  90JS20080815,ISSS08,     7,  1,      4,2,20080824,   0, 74.1320, 130.0000,   29,     14.7,  -1.3000,  28.9000,2,-999.0000,9,    308.5,2,    24.30,2,     4.20,2,     0.45,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2163.7,2,   2171.6,2,   7.5100,2,    15.00
  90JS20080815,ISSS08,     7,  1,      3,2,20080824,   0, 74.1320, 130.0000,   29,     10.5,  -0.9000,  26.1000,2,-999.0000,9,    345.4,2,    27.90,2,     3.40,2,     0.34,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1957.2,2,   1969.4,2,   7.5200,2,    15.00
  90JS20080815,ISSS08,     7,  1,      2,2,20080824,   0, 74.1320, 130.0000,   29,      4.1,   6.9000,   6.3000,2,-999.0000,9,    365.6,2,    36.10,2,     0.30,2,     0.00,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    971.0,2,   1004.3,2,   7.6200,2,    15.00
  90JS20080815,ISSS08,     7,  1,      1,2,20080824,   0, 74.1320, 130.0000,   29,      1.7,   6.9000,   6.3000,2,-999.0000,9,    367.5,2,    36.40,2,     0.50,2,     0.00,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    960.7,2,   1001.8,2,   7.6200,2,    15.00
